time_absolute,gpu_util_perc,gpu_mem_used_mb,power_draw_w
1785069447.211248,0.0,0.0,25.34
1785069448.2485404,0.0,0.0,25.46
1785069449.2839735,0.0,0.0,25.95
1785069450.3243446,0.0,0.0,26.07
1785069451.3832586,0.0,0.0,26.19
1785069452.4203622,0.0,0.0,26.07
1785069453.4602618,0.0,3.0,33.4
1785069454.530783,0.0,3.0,30.67
1785069455.5756989,0.0,3.0,26.09
1785069456.6392283,0.0,3.0,25.83
1785069457.6838446,0.0,3.0,25.34
1785069458.728246,0.0,3.0,25.1
1785069459.7719116,0.0,3.0,25.34
1785069460.8388278,0.0,3.0,25.71
1785069461.8839622,0.0,3.0,25.34
1785069462.9322927,0.0,3.0,25.22
1785069463.9990904,0.0,3.0,25.58
1785069465.0639026,0.0,3.0,25.22
1785069466.107931,0.0,3.0,24.85
1785069467.152338,0.0,3.0,25.1
1785069468.1959374,0.0,3.0,26.68
1785069469.2443283,0.0,3.0,25.1
1785069470.2880335,0.0,3.0,25.34
1785069471.3321538,0.0,3.0,25.83
1785069472.3760228,0.0,3.0,25.46
1785069473.4199917,0.0,3.0,25.1
1785069474.4638016,0.0,3.0,25.46
1785069475.507996,0.0,3.0,25.71
1785069476.5518048,0.0,3.0,25.46
1785069477.6190512,0.0,3.0,25.1
1785069478.6677873,0.0,3.0,25.46
1785069479.7123415,0.0,3.0,25.94
1785069480.7558725,0.0,3.0,25.57
1785069481.8187342,0.0,3.0,25.21
1785069482.8642144,0.0,3.0,25.83
1785069483.9081194,0.0,3.0,25.58
1785069484.9517436,0.0,3.0,24.85
1785069485.995792,0.0,3.0,25.1
1785069487.044102,0.0,3.0,25.58
1785069488.0881975,0.0,3.0,25.58
1785069489.136109,0.0,3.0,25.22
1785069490.183888,0.0,3.0,26.44
1785069491.2280238,0.0,3.0,25.58
1785069492.2757804,0.0,3.0,25.34
1785069493.3200068,0.0,3.0,25.34
1785069494.36804,0.0,3.0,25.34
1785069495.41209,0.0,3.0,25.1
1785069496.4561012,0.0,3.0,25.22
1785069497.5041525,0.0,3.0,25.58
1785069498.5481684,0.0,3.0,25.34
1785069499.5961733,0.0,3.0,24.98
1785069500.6438515,0.0,3.0,24.85
1785069501.6921701,0.0,3.0,25.22
1785069502.7400432,0.0,3.0,25.22
1785069503.7881835,0.0,3.0,24.98
1785069504.8321588,0.0,3.0,25.22
1785069505.895409,0.0,3.0,25.46
1785069506.9588451,0.0,3.0,25.71
1785069508.004402,0.0,3.0,25.46
1785069509.0480876,0.0,3.0,25.1
1785069510.0922735,0.0,3.0,25.34
1785069511.140212,0.0,3.0,25.34
1785069512.188042,0.0,3.0,26.8
1785069513.2511034,0.0,3.0,25.71
1785069514.2960806,0.0,3.0,25.46
1785069515.3632886,0.0,3.0,25.46
1785069516.4081585,0.0,3.0,25.58
1785069517.452182,0.0,3.0,25.58
1785069518.4959726,0.0,3.0,25.34
1785069519.544021,0.0,3.0,25.1
1785069520.592139,0.0,3.0,25.34
1785069521.640114,0.0,3.0,25.83
1785069522.6842139,0.0,3.0,25.34
1785069523.7279508,0.0,3.0,24.85
1785069524.7718928,0.0,3.0,25.46
1785069525.8160496,0.0,3.0,25.83
1785069526.9110324,0.0,3.0,25.46
1785069527.9829767,0.0,3.0,25.22
1785069529.0279949,0.0,3.0,25.58
1785069530.0721889,0.0,3.0,25.83
1785069531.1198008,0.0,3.0,25.46
1785069532.1912718,0.0,3.0,25.34
1785069533.2586656,0.0,3.0,25.46
1785069534.3081913,0.0,3.0,25.22
1785069535.3519435,0.0,3.0,24.98
1785069536.4150445,0.0,3.0,25.34
1785069537.4793723,0.0,3.0,25.22
1785069538.5279357,0.0,3.0,25.1
1785069539.5723064,0.0,3.0,25.34
1785069540.6198452,0.0,3.0,25.46
1785069541.6640177,0.0,3.0,25.34
1785069542.7123594,0.0,3.0,24.98
1785069543.7791655,0.0,3.0,25.1
1785069544.8240669,0.0,3.0,25.46
1785069545.8952847,0.0,3.0,25.34
1785069546.9440625,0.0,3.0,25.1
1785069547.9919384,0.0,3.0,25.46
1785069549.0360453,0.0,3.0,25.71
1785069550.080158,0.0,3.0,25.34
1785069551.1241045,0.0,3.0,24.98
1785069552.1911385,0.0,3.0,26.8
1785069553.2362878,0.0,3.0,25.34
1785069554.2799516,0.0,3.0,25.1
1785069555.3277497,0.0,3.0,25.58
1785069556.3721113,0.0,3.0,25.95
1785069557.4159977,0.0,3.0,25.46
1785069558.4599833,0.0,3.0,24.98
1785069559.508244,0.0,3.0,25.22
1785069560.5516667,0.0,3.0,25.71
1785069561.619703,0.0,3.0,25.46
1785069562.6642334,0.0,3.0,25.1
