model,window_size_steps,window_size_minutes,MAE
LSTM,4,20,0.42379166682561237
LSTM,8,40,0.45316410064697266
LSTM,12,60,0.46064414580663043
LSTM,16,80,0.47274569670359295
LSTM,24,120,0.5156832138697306
LSTM,36,180,0.4610002338886261
LSTM,48,240,0.4506021936734517
LSTM,72,360,0.4550131658713023
GRU,4,20,0.397514005502065
GRU,8,40,0.4367623527844747
GRU,12,60,0.4619271357854207
GRU,16,80,0.4489961862564087
GRU,24,120,0.47240891059239704
GRU,36,180,0.46257326006889343
GRU,48,240,0.40088406205177307
GRU,72,360,0.475963830947876
Transformer,4,20,0.3612855176130931
Transformer,8,40,0.430644412835439
Transformer,12,60,0.46483415365219116
Transformer,16,80,0.45392019550005597
Transformer,24,120,0.5655074616273245
Transformer,36,180,0.40226614475250244
Transformer,48,240,0.41165491938591003
Transformer,72,360,0.3951973219712575
