model,horizon_step,horizon_minutes,mean_mae,std_mae
LSTM,1,5,0.5001503645297485,0.2606784786931075
LSTM,2,10,0.5258702649704176,0.26353085616220134
LSTM,3,15,0.5310924981619963,0.28225803733737603
LSTM,4,20,0.5417102996958575,0.29791327786791383
LSTM,5,25,0.5630940876758157,0.3115162587580193
LSTM,6,30,0.5850705016915775,0.3295796993989835
LSTM,7,35,0.5889455057212586,0.33003476125006764
LSTM,8,40,0.6031886579185064,0.3185588480756355
LSTM,9,45,0.6241590462288552,0.30682846647382345
LSTM,10,50,0.653386767171372,0.3007269306813897
LSTM,11,55,0.6743594556588768,0.31765225248647594
LSTM,12,60,0.6839660142158662,0.3195379021996962
LSTM,13,65,0.6857265216099576,0.34374433540753374
LSTM,14,70,0.7090804505719975,0.36877840052021504
LSTM,15,75,0.7306689906470907,0.37681189593049685
LSTM,16,80,0.7328478363362376,0.3755881206995532
LSTM,17,85,0.7410550734197963,0.37404811702839363
LSTM,18,90,0.7642427716247501,0.3673229994644201
LSTM,19,95,0.778010401125029,0.3567193109415614
LSTM,20,100,0.7829204527707453,0.34841104866017497
LSTM,21,105,0.7981751865669494,0.34881232236716103
LSTM,22,110,0.8035499446260467,0.3478079391297892
LSTM,23,115,0.8050940402380936,0.3404734132529597
LSTM,24,120,0.7971657981576006,0.3602889245192575
GRU,1,5,0.48464436151273693,0.2459686393010504
GRU,2,10,0.5466313138039318,0.2806243393548649
GRU,3,15,0.5863903553635965,0.309559591227661
GRU,4,20,0.6210122011682571,0.3514175536679304
GRU,5,25,0.6541271359320939,0.39522532162845536
GRU,6,30,0.6941496546873794,0.4077511597548808
GRU,7,35,0.6933688648356546,0.4016630381432578
GRU,8,40,0.7105127194341243,0.36413601760738173
GRU,9,45,0.7257664825448545,0.3434961548889821
GRU,10,50,0.7598194758365091,0.3162807232929004
GRU,11,55,0.7681474208392199,0.34496609196205785
GRU,12,60,0.7793821282612171,0.33610141052642156
GRU,13,65,0.7750728859457228,0.3680023489076132
GRU,14,70,0.7961662654746089,0.4106268297589278
GRU,15,75,0.8073422175539399,0.42969632144309416
GRU,16,80,0.8024673867502622,0.4273658900364816
GRU,17,85,0.8018742798975657,0.4356615964564315
GRU,18,90,0.8194766079377277,0.42471568416006505
GRU,19,95,0.8266015707431041,0.40631995804799065
GRU,20,100,0.8196564525017966,0.39196479996324257
GRU,21,105,0.8323283700417186,0.38457695478594495
GRU,22,110,0.8325516695153948,0.38909954191588153
GRU,23,115,0.8327438259931293,0.37378967364569965
GRU,24,120,0.8161450740843249,0.3995093303420032
Transformer,1,5,0.47612234343607396,0.26398703487513037
Transformer,2,10,0.5199928284964254,0.28169360850037517
Transformer,3,15,0.5329374949008958,0.2850122249751758
Transformer,4,20,0.5488669295149641,0.30173776464205315
Transformer,5,25,0.5665031072463671,0.3222036982332164
Transformer,6,30,0.5865437635428065,0.32409143985456274
Transformer,7,35,0.5687644805433982,0.31336931901287834
Transformer,8,40,0.5731001350737672,0.2792421334850027
Transformer,9,45,0.5759680805054161,0.28595996614950725
Transformer,10,50,0.6072883982116062,0.2759453278495594
Transformer,11,55,0.6250452251537413,0.31287932793819073
Transformer,12,60,0.6541571822011348,0.3120891959200586
Transformer,13,65,0.666189993106043,0.3524661380830126
Transformer,14,70,0.7023570397023048,0.38811438231464584
Transformer,15,75,0.7393737983804632,0.4047626575186072
Transformer,16,80,0.7533592937142389,0.40928282151518003
Transformer,17,85,0.7724741407225828,0.4127388725361958
Transformer,18,90,0.8033475417697815,0.4116557178864038
Transformer,19,95,0.8272874989546847,0.40170321811242055
Transformer,20,100,0.8448661662279507,0.39500641220035243
Transformer,21,105,0.8767548738377181,0.3993855369358182
Transformer,22,110,0.8964998798222975,0.4126399036385447
Transformer,23,115,0.9166500786526123,0.4077759141381129
Transformer,24,120,0.9289194724131846,0.43517497738464256
Persistence,1,5,0.26918109125169176,0.22961865499380274
Persistence,2,10,0.39857044452743035,0.336228000211082
Persistence,3,15,0.47038299593768906,0.345542855588711
Persistence,4,20,0.5675868069853206,0.32948861156682335
Persistence,5,25,0.6478427820811027,0.3348642851326942
Persistence,6,30,0.6686861503360877,0.33702956012529744
Persistence,7,35,0.5677524307253952,0.3558410896154567
Persistence,8,40,0.4828664110158128,0.3293529821266093
Persistence,9,45,0.3954498384237289,0.334864724725288
Persistence,10,50,0.36313097933599897,0.25687324894762337
Persistence,11,55,0.2989268884831263,0.24674634798463657
Persistence,12,60,0.30818667536281796,0.2505931080800991
Persistence,13,65,0.3899570211617207,0.31340760456266226
Persistence,14,70,0.4765823044828367,0.3642905521241781
Persistence,15,75,0.5456366604651836,0.3908441811260908
Persistence,16,80,0.6065930770092249,0.371262913351871
Persistence,17,85,0.6366469975061589,0.33286496891591094
Persistence,18,90,0.6149584527541093,0.3113501644037556
Persistence,19,95,0.5377275052148318,0.34249675289650483
Persistence,20,100,0.4455361055734697,0.33841130597396535
Persistence,21,105,0.3677555376044484,0.29982720749347047
Persistence,22,110,0.31219288079613466,0.2851341720030452
Persistence,23,115,0.2987177421806045,0.2709865484063277
Persistence,24,120,0.3577323020225182,0.30340973101260205
