model,window_size_steps,window_size_minutes,MAE,RMSE,MAPE,R2
LSTM,4,20,0.42379166682561237,0.47215429940157044,5.340608914693196,-0.42959781487782794
LSTM,8,40,0.45316410064697266,0.5090686450818236,5.754918893178304,-0.6484611431757609
LSTM,12,60,0.46064414580663043,0.5366692671538397,5.876843293507894,-0.8496430714925131
LSTM,16,80,0.47274569670359295,0.5288202457953504,5.987769603729248,-0.9084552129109701
LSTM,24,120,0.5156832138697306,0.6032230424678054,6.587774435679118,-1.5390722354253132
LSTM,36,180,0.4610002338886261,0.5104872138932943,5.821682453155518,-0.7787568171819051
LSTM,48,240,0.4506021936734517,0.4964547044274786,5.66807206471761,-0.6252365509668986
LSTM,72,360,0.4550131658713023,0.5085590622261321,5.762122631072998,-0.709044337272644
GRU,4,20,0.397514005502065,0.4703039967030754,5.042989412943522,-0.4294789433479309
GRU,8,40,0.4367623527844747,0.49298786888930346,5.531891822814941,-0.5261535247166952
GRU,12,60,0.4619271357854207,0.5142256135658233,5.804406483968099,-0.8664892315864563
GRU,16,80,0.4489961862564087,0.5083789659797203,5.607224623362224,-0.7303287784258524
GRU,24,120,0.47240891059239704,0.532810867616137,5.973371505737305,-1.0343602498372395
GRU,36,180,0.46257326006889343,0.5555606121430928,5.775532563527425,-0.936023473739624
GRU,48,240,0.40088406205177307,0.45536960028957935,5.030388991038005,-0.30461005369822186
GRU,72,360,0.475963830947876,0.5405171204152857,5.956551710764567,-1.1071048776308696
Transformer,4,20,0.3612855176130931,0.40075973026851286,4.5306236743927,0.0002595186233520508
Transformer,8,40,0.430644412835439,0.4838847111134325,5.465756893157959,-0.5371217131614685
Transformer,12,60,0.46483415365219116,0.5397134008535244,5.935121536254883,-1.0024827321370442
Transformer,16,80,0.45392019550005597,0.5153477342933065,5.759258111317952,-0.9638740221659342
Transformer,24,120,0.5655074616273245,0.6476217773841075,7.2583082516988116,-1.931741197903951
Transformer,36,180,0.40226614475250244,0.45562632639826606,5.022429466247559,-0.3687148094177246
Transformer,48,240,0.41165491938591003,0.46113676612832294,5.173078854878743,-0.4768850803375244
Transformer,72,360,0.3951973219712575,0.4511211169707868,4.985616048177083,-0.2398857076962789
Persistence,4,20,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
Persistence,8,40,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
Persistence,12,60,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
Persistence,16,80,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
Persistence,24,120,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
Persistence,36,180,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
Persistence,48,240,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
Persistence,72,360,0.26918109125169176,0.35542884833262045,3.3107165701450865,0.23689508171964327
