model,source,epoch,train_loss,val_loss
LSTM,saved,1,0.9904367625713348,1.3361512422561646
LSTM,saved,2,0.6320493295788765,0.8833730816841125
LSTM,saved,3,0.3370399797956149,0.2840750217437744
LSTM,saved,4,0.32990695536136627,0.048544034361839294
LSTM,saved,5,0.26336703201135,0.0869465172290802
LSTM,saved,6,0.22951598713795343,0.1960018128156662
LSTM,saved,7,0.22253636519114176,0.20844674110412598
LSTM,saved,8,0.16011245548725128,0.1804121881723404
LSTM,saved,9,0.17293793335556984,0.1355607956647873
LSTM,saved,10,0.145621158182621,0.13317376375198364
LSTM,saved,11,0.16059770807623863,0.15884751081466675
LSTM,saved,12,0.14152731001377106,0.16669660806655884
LSTM,saved,13,0.16202965627113977,0.17482423782348633
LSTM,saved,14,0.12662183058758578,0.17451514303684235
GRU,saved,1,0.8051988879839579,0.6918845176696777
GRU,saved,2,0.34155308206876117,0.04543403908610344
GRU,saved,3,0.28035761912663776,0.06686607748270035
GRU,saved,4,0.21376528715093931,0.09486233443021774
GRU,saved,5,0.19786678502957025,0.1498076468706131
GRU,saved,6,0.16854184369246164,0.05125003680586815
GRU,saved,7,0.1508568488061428,0.05296376347541809
GRU,saved,8,0.15119067206978798,0.08699053525924683
GRU,saved,9,0.1373500662545363,0.09704684466123581
GRU,saved,10,0.1466809300084909,0.06365276128053665
GRU,saved,11,0.12762968304256597,0.0555172860622406
GRU,saved,12,0.14295579368869463,0.07957644015550613
Transformer,saved,1,0.4384383236368497,0.07524058222770691
Transformer,saved,2,0.22196599344412485,0.7196564674377441
Transformer,saved,3,0.24971464027961096,0.11245491355657578
Transformer,saved,4,0.15940136089920998,0.05738765001296997
Transformer,saved,5,0.1854589246213436,0.09935823082923889
Transformer,saved,6,0.13976973046859106,0.07234969735145569
Transformer,saved,7,0.13066574496527514,0.08932209014892578
Transformer,saved,8,0.14531760786970457,0.09576934576034546
Transformer,saved,9,0.1742554965118567,0.04848146811127663
Transformer,saved,10,0.14877489457527796,0.08726901561021805
Transformer,saved,11,0.14195771887898445,0.11682713031768799
Transformer,saved,12,0.12994913756847382,0.050601307302713394
Transformer,saved,13,0.11279769862691562,0.0922146663069725
Transformer,saved,14,0.13915504266818365,0.05936579778790474
Transformer,saved,15,0.09576733534534772,0.08100292831659317
Transformer,saved,16,0.10095154494047165,0.05733447149395943
Transformer,saved,17,0.11220697437723477,0.09170407056808472
Transformer,saved,18,0.11389961714545886,0.08215243369340897
Transformer,saved,19,0.10842921957373619,0.13734368979930878
